date,equity
2021-02-03,97791.92950702556
2021-02-04,97791.92950702556
2021-02-05,97791.92950702556
2021-02-08,97791.92950702556
2021-02-09,97791.92950702556
2021-02-10,97791.92950702556
2021-02-11,97791.92950702556
2021-02-12,97791.92950702556
2021-02-16,97791.92950702556
2021-02-17,97791.92950702556
2021-02-18,97791.92950702556
2021-02-19,97791.92950702556
2021-02-22,97791.92950702556
2021-02-23,97791.92950702556
2021-02-24,97791.92950702556
2021-02-25,97791.92950702556
2021-02-26,97791.92950702556
2021-03-01,97791.92950702556
2021-03-02,97791.92950702556
2021-03-03,97791.92950702556
2021-03-04,97791.92950702556
2021-03-05,97791.92950702556
2021-03-08,97791.92950702556
2021-03-09,97791.92950702556
2021-03-10,97791.92950702556
2021-03-11,97791.92950702556
2021-03-12,97791.92950702556
2021-03-15,97791.92950702556
2021-03-16,97791.92950702556
2021-03-17,97791.92950702556
2021-03-18,97791.92950702556
2021-03-19,97791.92950702556
2021-03-22,97791.92950702556
2021-03-23,97791.92950702556
2021-03-24,97791.92950702556
2021-03-25,97791.92950702556
2021-03-26,97791.92950702556
2021-03-29,97791.92950702556
2021-03-30,97791.92950702556
2021-03-31,97791.92950702556
2021-04-01,97791.92950702556
2021-04-05,97791.92950702556
2021-04-06,97791.92950702556
2021-04-07,97791.92950702556
2021-04-08,97791.92950702556
2021-04-09,97791.92950702556
2021-04-12,97791.92950702556
2021-04-13,97791.92950702556
2021-04-14,97791.92950702556
2021-04-15,97791.92950702556
2021-04-16,97791.92950702556
2021-04-19,97791.92950702556
2021-04-20,97791.92950702556
2021-04-21,97791.92950702556
2021-04-22,97791.92950702556
2021-04-23,97791.92950702556
2021-04-26,97791.92950702556
2021-04-27,97791.92950702556
2021-04-28,97791.92950702556
2021-04-29,97791.92950702556
2021-04-30,97791.92950702556
2021-05-03,97791.92950702556
2021-05-04,97791.92950702556
2021-05-05,97791.92950702556
2021-05-06,97791.92950702556
2021-05-07,97791.92950702556
2021-05-10,97791.92950702556
2021-05-11,97791.92950702556
2021-05-12,97791.92950702556
2021-05-13,97791.92950702556
2021-05-14,97791.92950702556
2021-05-17,97791.92950702556
2021-05-18,97791.92950702556
2021-05-19,97791.92950702556
2021-05-20,97791.92950702556
2021-05-21,97791.92950702556
2021-05-24,97791.92950702556
2021-05-25,97791.92950702556
2021-05-26,97791.92950702556
2021-05-27,97791.92950702556
2021-05-28,97791.92950702556
2021-06-01,97791.92950702556
2021-06-02,97791.92950702556
2021-06-03,97791.92950702556
2021-06-04,97791.92950702556
2021-06-07,97791.92950702556
2021-06-08,97791.92950702556
2021-06-09,97791.92950702556
2021-06-10,97791.92950702556
2021-06-11,97791.92950702556
2021-06-14,97791.92950702556
2021-06-15,97791.92950702556
2021-06-16,97791.92950702556
2021-06-17,97791.92950702556
2021-06-18,97791.92950702556
2021-06-21,97791.92950702556
2021-06-22,97791.92950702556
2021-06-23,97791.92950702556
2021-06-24,97791.92950702556
2021-06-25,97791.92950702556
2021-06-28,97791.92950702556
2021-06-29,97791.92950702556
2021-06-30,97791.92950702556
2021-07-01,97791.92950702556
2021-07-02,97791.92950702556
2021-07-06,97791.92950702556
2021-07-07,97791.92950702556
2021-07-08,97791.92950702556
2021-07-09,97791.92950702556
2021-07-12,97791.92950702556
2021-07-13,97791.92950702556
2021-07-14,97791.92950702556
2021-07-15,97791.92950702556
2021-07-16,97791.92950702556
2021-07-19,97791.92950702556
2021-07-20,97791.92950702556
2021-07-21,97791.92950702556
2021-07-22,97791.92950702556
2021-07-23,97791.92950702556
2021-07-26,97791.92950702556
2021-07-27,97791.92950702556
2021-07-28,97791.92950702556
2021-07-29,97791.92950702556
2021-07-30,97791.92950702556
2021-08-02,97791.92950702556
2021-08-03,97791.92950702556
2021-08-04,97791.92950702556
2021-08-05,97791.92950702556
2021-08-06,97791.92950702556
2021-08-09,97791.92950702556
2021-08-10,97791.92950702556
2021-08-11,97791.92950702556
2021-08-12,97791.92950702556
2021-08-13,97791.92950702556
2021-08-16,97791.92950702556
2021-08-17,97791.92950702556
2021-08-18,97791.92950702556
2021-08-19,97791.92950702556
2021-08-20,97791.92950702556
2021-08-23,97791.92950702556
2021-08-24,97694.13757751853
2021-08-25,98880.23710244855
2021-08-26,97520.5579998557
2021-08-27,99429.88921158791
2021-08-30,100109.72876288435
2021-08-31,99082.74109190199
2021-09-01,99212.91749841931
2021-09-02,101237.96842859343
2021-09-03,100225.44848132624
2021-09-07,98865.76937873338
2021-09-08,100239.91620504142
2021-09-09,98562.01339455323
2021-09-10,100847.42817340173
2021-09-13,101801.43691591852
2021-09-14,101801.43691591852
2021-09-15,101801.43691591852
2021-09-16,101801.43691591852
2021-09-17,101801.43691591852
2021-09-20,101801.43691591852
2021-09-21,101801.43691591852
2021-09-22,101801.43691591852
2021-09-23,101801.43691591852
2021-09-24,101801.43691591852
2021-09-27,101801.43691591852
2021-09-28,101801.43691591852
2021-09-29,101801.43691591852
2021-09-30,101801.43691591852
2021-10-01,101801.43691591852
2021-10-04,101801.43691591852
2021-10-05,101801.43691591852
2021-10-06,101801.43691591852
2021-10-07,101801.43691591852
2021-10-08,101801.43691591852
2021-10-11,101801.43691591852
2021-10-12,101801.43691591852
2021-10-13,101801.43691591852
2021-10-14,101801.43691591852
2021-10-15,101801.43691591852
2021-10-18,101801.43691591852
2021-10-19,101801.43691591852
2021-10-20,101801.43691591852
2021-10-21,101801.43691591852
2021-10-22,101801.43691591852
2021-10-25,101801.43691591852
2021-10-26,101801.43691591852
2021-10-27,101801.43691591852
2021-10-28,101801.43691591852
2021-10-29,101801.43691591852
2021-11-01,101801.43691591852
2021-11-02,101801.43691591852
2021-11-03,101801.43691591852
2021-11-04,101801.43691591852
2021-11-05,101801.43691591852
2021-11-08,101801.43691591852
2021-11-09,101801.43691591852
2021-11-10,101801.43691591852
2021-11-11,101801.43691591852
2021-11-12,101801.43691591852
2021-11-15,101801.43691591852
2021-11-16,101801.43691591852
2021-11-17,101801.43691591852
2021-11-18,101801.43691591852
2021-11-19,101801.43691591852
2021-11-22,101801.43691591852
2021-11-23,101801.43691591852
2021-11-24,101801.43691591852
2021-11-26,101801.43691591852
2021-11-29,101801.43691591852
2021-11-30,101801.43691591852
2021-12-01,101801.43691591852
2021-12-02,101801.43691591852
2021-12-03,101801.43691591852
2021-12-06,101801.43691591852
2021-12-07,101699.6354790026
2021-12-08,102137.2015771708
2021-12-09,100132.85334613951
2021-12-10,101163.25301647153
2021-12-13,100626.88132294269
2021-12-14,99836.43656005761
2021-12-15,100034.04775077887
2021-12-16,102165.42713198718
2021-12-17,100019.92958886958
2021-12-20,96307.64991288891
2021-12-21,100386.92641549575
2021-12-22,102701.80959451823
2021-12-23,104155.66797011138
2021-12-27,106668.16233985513
2021-12-28,107246.88851911186
2021-12-29,108065.55883681332
2021-12-30,108672.51057088641
2021-12-31,106160.01620114266
2022-01-03,106160.01620114266
2022-01-04,106160.01620114266
2022-01-05,106160.01620114266
2022-01-06,106160.01620114266
2022-01-07,106160.01620114266
2022-01-10,106160.01620114266
2022-01-11,106160.01620114266
2022-01-12,106160.01620114266
2022-01-13,106160.01620114266
2022-01-14,106160.01620114266
2022-01-18,106160.01620114266
2022-01-19,106160.01620114266
2022-01-20,106160.01620114266
2022-01-21,106160.01620114266
2022-01-24,106160.01620114266
2022-01-25,106160.01620114266
2022-01-26,106160.01620114266
2022-01-27,106160.01620114266
2022-01-28,106160.01620114266
2022-01-31,106160.01620114266
2022-02-01,106160.01620114266
2022-02-02,106160.01620114266
2022-02-03,106160.01620114266
2022-02-04,106160.01620114266
2022-02-07,106160.01620114266
2022-02-08,106160.01620114266
2022-02-09,106160.01620114266
2022-02-10,106160.01620114266
2022-02-11,106160.01620114266
2022-02-14,106160.01620114266
2022-02-15,106160.01620114266
2022-02-16,106160.01620114266
2022-02-17,106160.01620114266
2022-02-18,106160.01620114266
2022-02-22,106160.01620114266
2022-02-23,106160.01620114266
2022-02-24,106160.01620114266
2022-02-25,106160.01620114266
2022-02-28,106160.01620114266
2022-03-01,106160.01620114266
2022-03-02,106160.01620114266
2022-03-03,106160.01620114266
2022-03-04,106160.01620114266
2022-03-07,106160.01620114266
2022-03-08,106160.01620114266
2022-03-09,106160.01620114266
2022-03-10,106160.01620114266
2022-03-11,106160.01620114266
2022-03-14,106160.01620114266
2022-03-15,106160.01620114266
2022-03-16,106160.01620114266
2022-03-17,106160.01620114266
2022-03-18,106160.01620114266
2022-03-21,106160.01620114266
2022-03-22,106160.01620114266
2022-03-23,106160.01620114266
2022-03-24,106160.01620114266
2022-03-25,106160.01620114266
2022-03-28,106160.01620114266
2022-03-29,106160.01620114266
2022-03-30,106160.01620114266
2022-03-31,106160.01620114266
2022-04-01,106160.01620114266
2022-04-04,106160.01620114266
2022-04-05,106160.01620114266
2022-04-06,106160.01620114266
2022-04-07,106160.01620114266
2022-04-08,106160.01620114266
2022-04-11,106160.01620114266
2022-04-12,106160.01620114266
2022-04-13,106160.01620114266
2022-04-14,106160.01620114266
2022-04-18,106160.01620114266
2022-04-19,106160.01620114266
2022-04-20,106160.01620114266
2022-04-21,106160.01620114266
2022-04-22,106160.01620114266
2022-04-25,106160.01620114266
2022-04-26,106160.01620114266
2022-04-27,106160.01620114266
2022-04-28,106160.01620114266
2022-04-29,106160.01620114266
2022-05-02,106160.01620114266
2022-05-03,106160.01620114266
2022-05-04,106160.01620114266
2022-05-05,106160.01620114266
2022-05-06,106160.01620114266
2022-05-09,106160.01620114266
2022-05-10,106160.01620114266
2022-05-11,106160.01620114266
2022-05-12,106160.01620114266
2022-05-13,106160.01620114266
2022-05-16,106160.01620114266
2022-05-17,106160.01620114266
2022-05-18,106160.01620114266
2022-05-19,106160.01620114266
2022-05-20,106160.01620114266
2022-05-23,106160.01620114266
2022-05-24,106160.01620114266
2022-05-25,106160.01620114266
2022-05-26,106160.01620114266
2022-05-27,106160.01620114266
2022-05-31,106160.01620114266
2022-06-01,106160.01620114266
2022-06-02,106160.01620114266
2022-06-03,106160.01620114266
2022-06-06,106160.01620114266
2022-06-07,106160.01620114266
2022-06-08,106160.01620114266
2022-06-09,106160.01620114266
2022-06-10,106160.01620114266
2022-06-13,106160.01620114266
2022-06-14,106160.01620114266
2022-06-15,106160.01620114266
2022-06-16,106160.01620114266
2022-06-17,106160.01620114266
2022-06-21,106160.01620114266
2022-06-22,106160.01620114266
2022-06-23,106160.01620114266
2022-06-24,106160.01620114266
2022-06-27,106053.85618494151
2022-06-28,108173.58060414804
2022-06-29,106257.11631787628
2022-06-30,102366.12291607699
2022-07-01,104950.43981497316
